case_id,activity,timestamp,company,region,material_group,payment_term,variant
aa091dbf-1dc9-45cb-8362-4c825c59ed51,Receive Purchase Order,2024-03-12 00:00:00,Drystone India Ltd,Asia-Pacific,Power Tools,60 days from date of invoice,standard_path
aa091dbf-1dc9-45cb-8362-4c825c59ed51,Create Sales Order,2024-03-12 12:56:45,Drystone India Ltd,Asia-Pacific,Power Tools,60 days from date of invoice,standard_path
aa091dbf-1dc9-45cb-8362-4c825c59ed51,Create Delivery,2024-03-13 01:53:30,Drystone India Ltd,Asia-Pacific,Power Tools,60 days from date of invoice,standard_path
aa091dbf-1dc9-45cb-8362-4c825c59ed51,Create Shipment,2024-03-13 14:50:15,Drystone India Ltd,Asia-Pacific,Power Tools,60 days from date of invoice,standard_path
aa091dbf-1dc9-45cb-8362-4c825c59ed51,Issue Goods,2024-03-18 01:40:15,Drystone India Ltd,Asia-Pacific,Power Tools,60 days from date of invoice,standard_path
aa091dbf-1dc9-45cb-8362-4c825c59ed51,Create Invoice,2024-03-18 20:44:31,Drystone India Ltd,Asia-Pacific,Power Tools,60 days from date of invoice,standard_path
aa091dbf-1dc9-45cb-8362-4c825c59ed51,Clear Invoice,2024-03-19 15:48:48,Drystone India Ltd,Asia-Pacific,Power Tools,60 days from date of invoice,standard_path
9a576137-cb6e-4eba-b002-4253ea420f33,Receive Purchase Order,2024-01-17 00:00:00,Drystone Spain Co,Europe,Fertilizers,30 days from date of invoice,material_change_path
9a576137-cb6e-4eba-b002-4253ea420f33,Create Sales Order,2024-01-17 12:32:49,Drystone Spain Co,Europe,Fertilizers,30 days from date of invoice,material_change_path
9a576137-cb6e-4eba-b002-4253ea420f33,Change Material in Sales Order,2024-01-18 03:14:24,Drystone Spain Co,Europe,Fertilizers,30 days from date of invoice,material_change_path
9a576137-cb6e-4eba-b002-4253ea420f33,Create Delivery,2024-01-18 19:48:19,Drystone Spain Co,Europe,Fertilizers,30 days from date of invoice,material_change_path
9a576137-cb6e-4eba-b002-4253ea420f33,Create Shipment,2024-01-20 01:18:27,Drystone Spain Co,Europe,Fertilizers,30 days from date of invoice,material_change_path
9a576137-cb6e-4eba-b002-4253ea420f33,Issue Goods,2024-01-20 23:50:53,Drystone Spain Co,Europe,Fertilizers,30 days from date of invoice,material_change_path
9a576137-cb6e-4eba-b002-4253ea420f33,Create Invoice,2024-01-21 21:22:15,Drystone Spain Co,Europe,Fertilizers,30 days from date of invoice,material_change_path
9a576137-cb6e-4eba-b002-4253ea420f33,Clear Invoice,2024-01-21 22:12:12,Drystone Spain Co,Europe,Fertilizers,30 days from date of invoice,material_change_path
18a6cba8-a509-4895-9328-2d10f10f77f0,Receive Purchase Order,2024-01-14 00:00:00,Drystone Belgium NV,Europe,Safety equipment,45 days from date of invoice,price_change_path
18a6cba8-a509-4895-9328-2d10f10f77f0,Create Sales Order,2024-01-14 13:57:06,Drystone Belgium NV,Europe,Safety equipment,45 days from date of invoice,price_change_path
18a6cba8-a509-4895-9328-2d10f10f77f0,Change Net Price in Sales Order,2024-01-15 07:43:14,Drystone Belgium NV,Europe,Safety equipment,45 days from date of invoice,price_change_path
18a6cba8-a509-4895-9328-2d10f10f77f0,Create Delivery,2024-01-16 03:58:59,Drystone Belgium NV,Europe,Safety equipment,45 days from date of invoice,price_change_path
18a6cba8-a509-4895-9328-2d10f10f77f0,Create Shipment,2024-01-17 19:17:39,Drystone Belgium NV,Europe,Safety equipment,45 days from date of invoice,price_change_path
18a6cba8-a509-4895-9328-2d10f10f77f0,Issue Goods,2024-01-18 13:42:15,Drystone Belgium NV,Europe,Safety equipment,45 days from date of invoice,price_change_path
18a6cba8-a509-4895-9328-2d10f10f77f0,Create Invoice,2024-01-21 04:05:09,Drystone Belgium NV,Europe,Safety equipment,45 days from date of invoice,price_change_path
18a6cba8-a509-4895-9328-2d10f10f77f0,Clear Invoice,2024-01-22 12:01:19,Drystone Belgium NV,Europe,Safety equipment,45 days from date of invoice,price_change_path
f4e6cdb4-e57d-4107-a859-8bd29a60ee55,Receive Purchase Order,2024-10-28 00:00:00,Drystone Deutschland GmbH,Europe,Fertilizers,90 days from date of invoice,standard_path
f4e6cdb4-e57d-4107-a859-8bd29a60ee55,Create Sales Order,2024-10-28 05:09:40,Drystone Deutschland GmbH,Europe,Fertilizers,90 days from date of invoice,standard_path
f4e6cdb4-e57d-4107-a859-8bd29a60ee55,Create Delivery,2024-10-28 22:37:43,Drystone Deutschland GmbH,Europe,Fertilizers,90 days from date of invoice,standard_path
f4e6cdb4-e57d-4107-a859-8bd29a60ee55,Create Shipment,2024-10-31 01:17:27,Drystone Deutschland GmbH,Europe,Fertilizers,90 days from date of invoice,standard_path
f4e6cdb4-e57d-4107-a859-8bd29a60ee55,Issue Goods,2024-10-31 17:57:15,Drystone Deutschland GmbH,Europe,Fertilizers,90 days from date of invoice,standard_path
f4e6cdb4-e57d-4107-a859-8bd29a60ee55,Create Invoice,2024-11-01 22:27:45,Drystone Deutschland GmbH,Europe,Fertilizers,90 days from date of invoice,standard_path
f4e6cdb4-e57d-4107-a859-8bd29a60ee55,Clear Invoice,2024-11-02 15:15:17,Drystone Deutschland GmbH,Europe,Fertilizers,90 days from date of invoice,standard_path
a7517a13-c49d-4cce-8644-8fc8dadce7b2,Receive Purchase Order,2024-03-22 00:00:00,Drystone Austria AG,Europe,Power Drills,30 days from date of invoice,invoice_after_invoice
